Date,M1,M2,DOW,SPX,DOW/M1,DOW/M2,SPX/M1,SPX/M2
5/1/95,"1,145","3,524","4,316",514,"3,769","1,225",449,146
6/1/95,"1,144","3,549","4,473",534,"3,909","1,260",467,150
7/1/95,"1,146","3,567","4,556",545,"3,977","1,277",476,153
8/1/95,"1,145","3,589","4,700",560,"4,104","1,310",489,156
9/1/95,"1,142","3,602","4,648",564,"4,070","1,290",494,157
10/1/95,"1,137","3,613","4,789",584,"4,211","1,325",513,162
11/1/95,"1,134","3,620","4,767",584,"4,203","1,317",515,161
12/1/95,"1,128","3,630","5,087",607,"4,512","1,402",538,167
1/1/96,"1,124","3,648","5,117",616,"4,555","1,403",548,169
2/1/96,"1,119","3,662","5,405",639,"4,832","1,476",571,175
3/1/96,"1,123","3,687","5,537",644,"4,932","1,502",574,175
4/1/96,"1,125","3,698","5,638",654,"5,012","1,525",581,177
5/1/96,"1,117","3,710","5,575",655,"4,993","1,503",587,177
6/1/96,"1,115","3,723","5,643",669,"5,060","1,516",600,180
7/1/96,"1,112","3,737","5,730",676,"5,151","1,533",608,181
8/1/96,"1,102","3,744","5,595",650,"5,079","1,494",590,174
9/1/96,"1,096","3,753","5,616",652,"5,123","1,496",595,174
10/1/96,"1,086","3,773","5,905",689,"5,439","1,565",635,183
11/1/96,"1,084","3,795","6,022",704,"5,558","1,587",650,186
12/1/96,"1,081","3,819","6,522",757,"6,031","1,708",700,198
1/1/97,"1,081","3,835","6,448",741,"5,964","1,682",685,193
2/1/97,"1,079","3,846","6,813",786,"6,315","1,771",729,204
3/1/97,"1,073","3,861","6,878",791,"6,413","1,781",738,205
4/1/97,"1,064","3,877","6,611",760,"6,214","1,705",714,196
5/1/97,"1,064","3,889","6,977",799,"6,558","1,794",751,205
6/1/97,"1,066","3,906","7,331",848,"6,876","1,877",795,217
7/1/97,"1,066","3,924","7,722",891,"7,248","1,968",836,227
8/1/97,"1,075","3,957","8,194",947,"7,620","2,071",881,239
9/1/97,"1,067","3,973","7,622",900,"7,144","1,919",844,227
