Date,Currency,M1,M2,M3,DAX,DAX/Currency,DAX/M1,DAX/M2,DAX/M3
4/30/97,310245,1462884,3498629,4068933,3438,"11,082","2,350",983,845
5/31/97,310223,1481529,3514659,4097362,3563,"11,484","2,405","1,014",870
6/30/97,310573,1497996,3533982,4121578,3767,"12,129","2,515","1,066",914
7/31/97,310786,1511944,3548645,4143617,4406,"14,175","2,914","1,241","1,063"
8/31/97,312246,1519774,3558109,4146012,3920,"12,554","2,579","1,102",945
9/30/97,313371,1529659,3570962,4169047,4155,"13,259","2,716","1,164",997
10/31/97,313143,1553269,3595263,4191990,3754,"11,987","2,417","1,044",895
11/30/97,313724,1552044,3600773,4201492,3972,"12,661","2,559","1,103",945
12/31/97,313675,1566011,3615677,4222019,4224,"13,467","2,697","1,168","1,001"
1/31/98,313975,1574257,3638426,4244379,4443,"14,149","2,822","1,221","1,047"
2/28/98,315348,1586035,3656642,4255439,4694,"14,885","2,959","1,284","1,103"
3/31/98,315459,1606018,3666674,4267921,5097,"16,158","3,174","1,390","1,194"
4/30/98,315678,1619997,3695000,4298513,5241,"16,603","3,235","1,418","1,219"
5/31/98,315974,1633711,3718207,4316033,5557,"17,587","3,401","1,495","1,288"
6/30/98,315666,1657166,3742800,4340943,5842,"18,506","3,525","1,561","1,346"
7/31/98,315441,1652445,3735036,4362649,5861,"18,581","3,547","1,569","1,343"
8/31/98,315780,1659698,3747240,4368163,4811,"15,236","2,899","1,284","1,101"
9/30/98,314282,1668328,3756213,4371401,4431,"14,099","2,656","1,180","1,014"
10/31/98,314232,1683846,3776275,4410036,4691,"14,928","2,786","1,242","1,064"
11/30/98,314815,1702749,3805327,4417203,5026,"15,965","2,952","1,321","1,138"
12/31/98,315007,1726398,3848054,4422982,5007,"15,894","2,900","1,301","1,132"
1/31/99,316882,1807005,3930982,4447197,5180,"16,348","2,867","1,318","1,165"
2/28/99,317262,1785973,3905442,4436979,4904,"15,457","2,746","1,256","1,105"
3/31/99,319657,1806407,3930847,4453500,4865,"15,220","2,693","1,238","1,092"
4/30/99,321018,1823152,3952443,4488386,5360,"16,698","2,940","1,356","1,194"
5/31/99,322437,1836913,3968746,4505279,5069,"15,720","2,759","1,277","1,125"
6/30/99,324781,1858495,3988595,4537054,5379,"16,560","2,894","1,348","1,185"
7/31/99,326908,1882493,4023726,4565970,5102,"15,606","2,710","1,268","1,117"
8/31/99,329004,1879218,4024225,4572050,5271,"16,020","2,805","1,310","1,153"
9/30/99,329374,1886642,4029253,4594744,5150,"15,635","2,730","1,278","1,121"
10/31/99,330906,1900478,4052935,4616547,5525,"16,698","2,907","1,363","1,197"
11/30/99,332895,1912382,4066747,4646110,5896,"17,711","3,083","1,450","1,269"
12/31/99,341192,1925201,4078868,4667221,6958,"20,394","3,614","1,706","1,491"
