Rank,Symbol,Company,Market Cap,Price,Change,Revenue
302,K,Kellanova,28.90B,83.06,-,12.67B
303,ADM,Archer-Daniels-Midland Company,28.87B,60.09,-0.73%,82.78B
304,KHC,The Kraft Heinz Company,28.80B,24.33,-1.62%,25.16B
305,TER,"Teradyne, Inc.",28.67B,183.07,0.72%,2.86B
306,FSLR,"First Solar, Inc.",28.51B,265.71,-0.46%,5.05B
307,ROL,"Rollins, Inc.",28.35B,58.5,1.54%,3.68B
308,FOXA,Fox Corporation,28.24B,63.62,-1.59%,16.47B
309,MTB,M&T Bank Corporation,28.08B,182.73,-0.62%,9.08B
310,TSCO,Tractor Supply Company,27.82B,52.49,-2.99%,15.40B
311,DTE,DTE Energy Company,27.80B,133.87,-1.23%,14.82B
312,ATO,Atmos Energy Corporation,27.72B,172.7,0.57%,4.62B
313,ES,Eversource Energy,27.60B,74.36,0.75%,12.99B
314,AEE,Ameren Corporation,27.46B,101.54,-0.47%,8.12B
315,FITB,Fifth Third Bancorp,27.45B,41.53,-0.22%,8.13B
316,WRB,W. R. Berkley Corporation,27.28B,71.78,0.62%,14.65B
317,PPL,PPL Corporation,26.93B,36.41,-0.30%,8.81B
318,FOX,Fox Corporation,26.76B,57.32,-1.87%,16.47B
319,EXPE,"Expedia Group, Inc.",26.67B,215.61,-2.00%,14.02B
320,SYF,Synchrony Financial,26.66B,74.01,-0.50%,9.65B
321,FE,FirstEnergy Corp.,26.60B,46.04,0.46%,14.28B
322,BRO,"Brown & Brown, Inc.",26.57B,77.82,-2.41%,5.35B
323,EXE,Expand Energy Corporation,26.22B,110.08,6.55%,10.78B
324,CBOE,"Cboe Global Markets, Inc.",25.84B,246.92,0.52%,4.62B
325,BR,"Broadridge Financial Solutions, Inc.",25.82B,221.18,0.35%,6.89B
326,EFX,Equifax Inc.,25.68B,209.84,-0.60%,5.94B
327,HPQ,HP Inc.,25.25B,27.01,-2.39%,54.71B
328,CNP,"CenterPoint Energy, Inc.",25.08B,38.42,0.47%,9.11B
329,AVB,"AvalonBay Communities, Inc.",24.99B,175.37,0.83%,3.07B
330,HUBB,Hubbell Incorporated,24.85B,467.61,-0.51%,5.69B
331,LDOS,"Leidos Holdings, Inc.",24.77B,193.05,1.35%,17.05B
332,GIS,"General Mills, Inc.",24.77B,46.43,-0.39%,19.16B
333,AWK,"American Water Works Company, Inc.",24.58B,125.97,-1.92%,5.07B
334,VLTO,Veralto Corporation,24.57B,98.94,0.26%,5.45B
335,DOV,Dover Corporation,24.44B,178.16,-1.82%,7.92B
336,TDY,Teledyne Technologies Incorporated,24.34B,518.32,-1.61%,6.01B
337,HBAN,Huntington Bancshares Incorporated,24.16B,15.37,-0.45%,7.50B
338,NTRS,Northern Trust Corporation,24.15B,127.68,-0.77%,7.93B
339,TTD,"The Trade Desk, Inc.",24.02B,49.12,-2.31%,2.68B
340,CINF,Cincinnati Financial Corporation,23.96B,153.59,-0.65%,12.08B
341,DXCM,"DexCom, Inc.",23.57B,60.43,3.80%,4.52B
342,JBL,Jabil Inc.,23.54B,220.31,-0.26%,29.80B
343,PTC,PTC Inc.,23.52B,196.36,-1.10%,2.47B
344,WSM,"Williams-Sonoma, Inc.",23.46B,192.62,-0.89%,7.83B
345,STE,STERIS plc,23.37B,237.32,0.69%,5.57B
346,NTAP,"NetApp, Inc.",23.34B,116.94,-0.71%,6.59B
347,ULTA,"Ulta Beauty, Inc.",23.20B,517.43,-0.47%,11.65B
348,PHM,"PulteGroup, Inc.",23.15B,118.76,-0.93%,17.62B
349,EQR,Equity Residential,23.05B,59.08,-0.61%,3.08B
350,STZ,"Constellation Brands, Inc.",22.90B,130.82,-0.43%,9.62B
351,HAL,Halliburton Company,22.88B,27.18,1.27%,22.14B
352,STLD,"Steel Dynamics, Inc.",22.78B,155.97,-0.53%,17.63B
353,VRSN,"VeriSign, Inc.",22.67B,244.56,1.98%,1.63B
354,PODD,Insulet Corporation,22.44B,318.77,1.84%,2.36B
355,BIIB,Biogen Inc.,22.22B,151.44,-1.83%,10.07B
356,TROW,"T. Rowe Price Group, Inc.",22.20B,101.71,-0.80%,7.21B
357,CMS,CMS Energy Corporation,22.06B,72.49,-1.44%,8.30B
358,TPR,"Tapestry, Inc.",22.01B,106.33,-3.18%,7.01B
359,CFG,"Citizens Financial Group, Inc.",21.91B,51.01,0.28%,7.44B
360,DG,Dollar General Corporation,21.83B,99.17,0.52%,41.65B
361,RF,Regions Financial Corporation,21.45B,24.24,0.17%,6.95B
362,LH,Labcorp Holdings Inc.,21.37B,257.84,1.53%,13.77B
363,PPG,"PPG Industries, Inc.",21.31B,94.96,-2.85%,15.69B
364,TPL,Texas Pacific Land Corporation,21.25B,924.66,-1.98%,742.87M
365,EIX,Edison International,20.93B,54.39,-1.79%,18.09B
366,DVN,Devon Energy Corporation,20.83B,32.82,1.02%,16.11B
367,CHD,"Church & Dwight Co., Inc.",20.72B,86.28,-1.61%,6.14B
368,SBAC,SBA Communications Corporation,20.66B,193.52,1.07%,2.79B
369,DRI,"Darden Restaurants, Inc.",20.65B,177.57,-1.43%,12.36B
